reg_condition	comparator	feature	n_subjects	mean_diff	sd	se	t	p	q_all_features_within_condition_comparator
down	passive_before	sensory_S2_operculum_L	32	-314.66429072354924	642.2939448302626	113.54260097613422	-2.7713324163649307	0.009354297235066871	0.2239556486584454
down	passive_before	sensory_posterior_insula_R	32	-284.2364457486332	660.1015586945931	116.69057210618914	-2.4358132848125575	0.020802601259315136	0.2239556486584454
down	passive_before	expl_hypothalamus	32	-288.8399065108779	770.1495663320519	136.14449522031816	-2.12156874975707	0.04197124247614081	0.2239556486584454
down	passive_before	reg_anterior_insula_L	32	-223.50973380946425	595.9570244989884	105.35131332974802	-2.1215657094836793	0.04197151744236461	0.2239556486584454
down	passive_before	reg_caudate_R	32	193.24637554517744	518.3105614613143	91.62522819247553	2.109095708217262	0.04311285845095848	0.2239556486584454
down	passive_before	expl_amygdala_L	32	342.1202396500942	920.4033454480619	162.70586174827724	2.1026915439554936	0.04370963620443445	0.2239556486584454
down	passive_before	reg_dlPFC_IFJ_R	32	-224.53507227585672	619.8440132836282	109.57397626768449	-2.0491642260688545	0.04899029814403493	0.2239556486584454
down	passive_before	expl_hippocampus_R	32	214.5267748323359	667.0400771160129	117.91714046298257	1.8193010277388952	0.07853650181929563	0.29428683140137557
down	passive_before	expl_amygdala_R	32	297.38744422957495	938.3508429510927	165.87856104570767	1.792802170182982	0.08276817133163687	0.29428683140137557
down	passive_before	sensory_insula_all_L	32	-138.55179930042922	462.8594385077046	81.82276192624893	-1.693316090030218	0.10042259151780479	0.3213522928569753
down	passive_before	sensory_insula_all_R	32	-202.48356563403794	763.3340850139774	134.93967695605298	-1.5005487652084906	0.14358957585339832	0.3939223621761219
down	passive_before	sensory_S2_operculum_R	32	-147.59159030449754	565.0002914062585	99.8788843564352	-1.47770563573569	0.14957536596468016	0.3939223621761219
down	passive_before	reg_caudate_L	32	172.69450420568336	678.6432765773002	119.96831571861665	1.4395009479897587	0.16003095963404954	0.3939223621761219
down	passive_before	sensory_S1_L	32	-135.19782319557436	607.0719115368444	107.31616632889563	-1.2598085434884883	0.2171406467725437	0.4963214783372427
down	passive_before	reg_putamen_R	32	123.76370063326925	638.2353968933045	112.82514428413579	1.096951405810624	0.28111091153242007	0.5997032779358294
down	passive_before	sensory_S1_R	32	-122.23398228076768	679.4578163427987	120.11230736654917	-1.0176640925541771	0.3167146548123421	0.612850127882927
down	passive_before	expl_hippocampus_L	32	137.13235021362112	776.5915545945486	137.28328861650206	0.9989005333103391	0.325576630437805	0.612850127882927
down	passive_before	reg_putamen_L	32	112.0322367800246	686.1725950746866	121.29932376042046	0.9236014951023193	0.36282742772045046	0.6450265381696897
down	passive_before	reg_anterior_insula_R	32	-204.22133013980653	1488.0762669051314	263.05720481284527	-0.776338098342913	0.44343270396167034	0.7317425435270468
down	passive_before	sensory_posterior_insula_L	32	-85.25314781435682	640.7571553867189	113.27093241693781	-0.7526480624397917	0.4573390897044043	0.7317425435270468
down	passive_before	reg_dlPFC_IFJ_L	32	59.99570493633216	506.3247655627128	89.50641880302078	0.6702949993828526	0.5076328377057416	0.7692264539385824
down	passive_before	sensory_thalamus_L	32	-43.55452071591442	386.82379168744995	68.38143155662208	-0.6369349065155187	0.5288431870827753	0.7692264539385824
down	passive_before	reg_NAc_R	32	74.6223078554302	754.9189813737489	133.4520827439547	0.5591693012285381	0.5800638075622052	0.8070452974778507
down	passive_before	reg_pgACC_rACC	32	45.955816982182995	501.87570328984094	88.71992827725354	0.5179875353209159	0.6081443208442573	0.8108590944590097
down	passive_before	reg_NAc_L	32	43.77895321414457	702.1889241076673	124.13063747765437	0.35268451128373146	0.7267117326753484	0.9163563055579395
down	passive_before	reg_vmPFC	32	37.16416129502953	720.8867387252816	127.43597535502538	0.2916300612248108	0.7725121322126474	0.9163563055579395
down	passive_before	sensory_thalamus_R	32	-19.251778776840354	374.55853612501204	66.2132202113256	-0.29075430428238536	0.7731756328145114	0.9163563055579395
down	passive_before	reg_SMA_preSMA	32	-16.742688401687854	518.7489473379507	91.70272459901203	-0.1825756919971409	0.8563197302206318	0.9575871321084174
down	passive_before	reg_vmPFC_mOFC	32	14.899858394447419	535.2869884365412	94.62626485110081	0.15746007113239746	0.8759034179967101	0.9575871321084174
down	passive_before	sensory_dACC_MCC	32	12.13053090199761	529.5727923865353	93.61612815710369	0.12957736173024084	0.8977379363516413	0.9575871321084174
